States/UTs,Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),Men (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2) (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),All women age 15-49 years who are anaemic22 (%),Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Gender_Obesity_Gap
Andaman & Nicobar Islands,38.5,44.3,40.36666666666667,57.43333333333334,17.766666666666666,18.133333333333333,25.03333333333333,29.866666666666664,-5.799999999999997
Andhra Pradesh,37.766666666666666,32.26666666666667,62.3,58.633333333333326,20.2,22.4,25.7,29.600000000000005,5.499999999999993
Arunachal Pradesh,25.23333333333333,28.866666666666664,55.5,39.266666666666666,8.733333333333333,11.933333333333332,25.0,33.13333333333333,-3.633333333333333
Assam,17.533333333333335,18.7,67.8,65.7,13.833333333333334,17.2,20.03333333333333,21.23333333333333,-1.1666666666666643
Bihar,18.433333333333334,15.666666666666666,69.0,64.06666666666666,13.666666666666666,17.3,16.1,18.666666666666668,2.7666666666666675
Chandigarh,43.95,34.4,54.8,60.3,19.0,16.6,25.0,30.6,9.550000000000004
Chhattisgarh,16.166666666666668,16.666666666666668,68.16666666666667,59.833333333333336,9.733333333333333,11.300000000000002,23.566666666666663,27.73333333333333,-0.5
Dadra and Nagar Haveli & Daman and Diu,27.03333333333333,21.666666666666668,75.86666666666666,62.46666666666667,13.633333333333333,16.433333333333334,15.0,15.433333333333332,5.366666666666664
Goa,35.76666666666667,32.63333333333333,53.2,38.8,20.83333333333333,24.33333333333333,27.5,26.96666666666667,3.13333333333334
Gujarat,23.33333333333333,20.366666666666667,79.5,64.63333333333333,16.0,16.966666666666665,20.6,20.3,2.9666666666666615
Haryana,33.833333333333336,28.633333333333336,70.0,59.9,12.2,13.733333333333334,21.33333333333333,25.3,5.199999999999999
Himachal Pradesh,32.63333333333333,32.03333333333334,56.2,52.43333333333334,14.333333333333334,15.733333333333334,22.166666666666668,25.7,0.5999999999999943
India,25.633333333333336,24.0,66.53333333333333,56.43333333333334,14.033333333333331,16.0,21.7,24.433333333333334,1.6333333333333364
Jammu & Kashmir,30.2,33.53333333333333,72.10000000000001,64.93333333333334,8.833333333333334,8.033333333333333,20.266666666666666,19.166666666666668,-3.333333333333332
Jharkhand,14.033333333333331,16.533333333333335,66.96666666666667,64.36666666666666,10.733333333333334,14.433333333333332,18.3,23.166666666666668,-2.5000000000000036
Karnataka,30.933333333333337,31.766666666666666,65.13333333333333,47.333333333333336,14.266666666666666,15.9,25.266666666666666,27.2,-0.8333333333333286
